Identificador do processo de viagem,Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço
13427464,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,376,0
13427465,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,229,0
13427466,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,229,0
13427468,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,229,0
13427471,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,229,0
13427472,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,229,0
13427486,Aéreo,Reino Unido,,Glasgow,Reino Unido,,Londres,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,0,0
13427525,Aéreo,Canadá,,Toronto,Brasil,Rio de Janeiro,Rio de Janeiro,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2010,0
13427583,Aéreo,Chile,,Punta Arenas,Brasil,São Paulo,Guarulhos,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,927,0
13427683,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1087,0
13427845,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Portugal,,Lisboa,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,2149,0
13429025,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,São Paulo,São Paulo,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,474,0
13429206,Aéreo,Colômbia,,Letícia,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,5019,0
13429221,Aéreo,Brasil,Bahia,Vitória da Conquista,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1078,0
13429249,Aéreo,Colômbia,,Letícia,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4934,0
13429320,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,276,0
13429321,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Goiás,Goiânia,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,309,0
13429322,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Minas Gerais,Belo Horizonte,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,322,0
13429720,Aéreo,Paraguai,,Assunção,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1649,0
13429736,Aéreo,Paraguai,,Assunção,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,1204,0
13430928,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,347,0
13431190,Aéreo,Brasil,Pernambuco,Recife,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,399,0
13431190,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Pernambuco,Recife,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,347,0
13431603,Aéreo,Brasil,Rondônia,Porto Velho,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,552,0
13431657,Aéreo,Brasil,Tocantins,Palmas,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,283,0
13431658,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Tocantins,Palmas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,289,0
13432917,Aéreo,Irlanda,,Dublin,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,5532,0
13432967,Aéreo,Irlanda,,Dublin,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,5532,0
13433395,Aéreo,Estados Unidos da América,,Chicago,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,4969,0
13433498,Aéreo,Brasil,Distrito Federal,Brasília,Armênia,,Iereván,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,5763,0
13433511,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Maranhão,São Luís,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,723,0
13433511,Aéreo,Brasil,Maranhão,São Luís,Brasil,Pará,Belém,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,473,0
13433740,Aéreo,Brasil,Rondônia,Porto Velho,Brasil,Distrito Federal,Brasília,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,717,0
13433740,Aéreo,Brasil,Acre,Rio Branco,Brasil,Rondônia,Porto Velho,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,86,0
13434501,Aéreo,Brasil,São Paulo,Guarulhos,Estados Unidos da América,,Dallas,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,Sem Informação,3886,0
